House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
"6500","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4CZ0""","6504 NW 70TH AV","6500 NW 70TH AV",""
"6501","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4AWF""","6505 NW 70TH AV","6501 NW 70TH AV",""
"6502","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4CXQ""","6504 NW 70TH AV","6502 NW 70TH AV",""
"6503","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4Q6L""","6505 NW 70TH AV","6503 NW 70TH AV",""
"6504","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4AOX""","6504 NW 70TH AV","6504 NW 70TH AV",""
"6505","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4LX1""","6505 NW 70TH AV","6505 NW 70TH AV",""
"6506","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4E4G""","6504 NW 70TH AV","6506 NW 70TH AV",""
"6507","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4VGA""","6505 NW 70TH AV","6507 NW 70TH AV",""
"6508","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4GDZ""","MR 6508 NW 70TH AV","6508 NW 70TH AV",""
"6509","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4R5V""","6505 NW 70TH AV","6509 NW 70TH AV",""
"6510","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4QE2""","MR 6508 NW 70TH AV","6510 NW 70TH AV",""
"6511","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4JLQ""","6505 NW 70TH AV","6511 NW 70TH AV",""
"6512","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4L6S""","MR 6508 NW 70TH AV","6512 NW 70TH AV",""
"6513","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4TBQ""","6505 NW 70TH AV","6513 NW 70TH AV",""
"6514","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4KGI""","MR 6508 NW 70TH AV","6514 NW 70TH AV",""
"6515","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4Z7N""","6505 NW 70TH AV","6515 NW 70TH AV",""
"6516","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4N4P""","MR 6508 NW 70TH AV","6516 NW 70TH AV",""
"6517","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4NEO""","6505 NW 70TH AV","6517 NW 70TH AV",""
"6518","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4NIC""","MR 6508 NW 70TH AV","6518 NW 70TH AV",""
"6519","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4OCV""","6505 NW 70TH AV","6519 NW 70TH AV",""
"6520","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4KAI""","MR 6508 NW 70TH AV","6520 NW 70TH AV",""
"6521","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4RH3""","6505 NW 70TH AV","6521 NW 70TH AV",""
"6522","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4QZ0""","MR 6508 NW 70TH AV","6522 NW 70TH AV",""
"6523","NW 70TH AV","TMRC","33321","","","","","","","310213","=""00000T4JDV""","6505 NW 70TH AV","6523 NW 70TH AV",""
